property_title,location,number_of_rooms,price,size,listing_type
13411 JAVA DR,13411 JAVA DR,"{'bathstotal': 3.0, 'beds': 3}","{'saleamt': 5000000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2017-09-27', 'saledisclosuretype': 0, 'saledoctype': 'MORTGAGE', 'saledocnum': '0001106520', 'saletranstype': 'Resale'}",,sale
1054 ANGELO DR,1054 ANGELO DR,"{'bathstotal': 4.0, 'beds': 3}","{'saleamt': 20252000, 'salerecdate': '2025-03-10', 'saledisclosuretype': 0, 'saledocnum': '0000150956', 'saletranstype': 'Resale'}",,sale
13741 MULHOLLAND DR,13741 MULHOLLAND DR,"{'bathstotal': 4.0, 'beds': 2}","{'saleamt': 2178500, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2013-05-23', 'saledisclosuretype': 0, 'saledocnum': '0000779085', 'saletranstype': 'Resale'}",,sale
1414 DAWNRIDGE DR,1414 DAWNRIDGE DR,"{'bathstotal': 6.0, 'beds': 5}","{'saleamt': 3700000, 'salerecdate': '2022-05-16', 'saledisclosuretype': 0, 'saledocnum': '0000526424', 'saletranstype': 'Resale'}",4582,sale
1041 MARILYN DR,1041 MARILYN DR,"{'bathstotal': 5.0, 'beds': 4}","{'saleamt': 17187500, 'salecode': 'UNKNOWN amount is not present and is not on documents', 'salerecdate': '2004-03-08', 'saledisclosuretype': 0, 'saledoctype': 'MORTGAGE', 'saledocnum': '0000539685', 'saletranstype': 'Resale'}",,sale
12900 MULHOLLAND DR,12900 MULHOLLAND DR,"{'bathstotal': 4.0, 'beds': 3}","{'saleamt': 5000050, 'salecode': 'ESTIMATED Sale price is not available due to non-disclosure counties', 'salerecdate': '2005-03-15', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000585175', 'saletranstype': 'Resale'}",,sale
1645 N BEVERLY DR,1645 N BEVERLY DR,"{'bathstotal': 4.0, 'beds': 4}","{'saleamt': 555000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2003-12-31', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0003915381', 'saletranstype': 'Resale'}",3204,sale
1264 ANGELO DR,1264 ANGELO DR,"{'bathstotal': 4.0, 'beds': 3}","{'saleamt': 4800000, 'salecode': 'UNKNOWN amount is not present and is not on documents', 'salerecdate': '2014-05-13', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000490720', 'saletranstype': 'Resale'}",,sale
9821 YOAKUM DR,9821 YOAKUM DR,"{'bathstotal': 2.0, 'beds': 1}","{'salerecdate': '2023-08-15', 'saledisclosuretype': 0, 'saledocnum': '0000539133', 'saletranstype': 'Resale'}",,sale
718 N OAKHURST DR,718 N OAKHURST DR,"{'bathstotal': 3.0, 'beds': 3}","{'saleamt': 3350000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2003-01-02', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000005288', 'saletranstype': 'Resale'}",3080,sale
1046 N HILLCREST RD,1046 N HILLCREST RD,{},"{'saleamt': 8250000, 'salerecdate': '2022-06-29', 'saledisclosuretype': 0, 'saledocnum': '0000678575', 'saletranstype': 'Resale'}",,sale
1071 N HILLCREST RD,1071 N HILLCREST RD,{},"{'saleamt': 625000, 'salecode': 'UNKNOWN amount is not present and is not on documents', 'salerecdate': '2001-04-27', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000720547', 'saletranstype': 'Resale'}",,sale
1157 N HILLCREST RD,1157 N HILLCREST RD,"{'bathstotal': 5.0, 'beds': 3}","{'saleamt': 15600000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2016-04-05', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000374768', 'saletranstype': 'Resale'}",4524,sale
1627 BENEDICT CANYON DR,1627 BENEDICT CANYON DR,{},"{'saleamt': 917000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2001-08-16', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0001509084', 'saletranstype': 'Resale'}",,sale
9491 SUNSET BLVD,9491 SUNSET BLVD,"{'bathstotal': 9.0, 'beds': 9}","{'salerecdate': '2005-10-20', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0002529743', 'saletranstype': 'Resale'}",16621,sale
13200 MULHOLLAND DR,13200 MULHOLLAND DR,"{'bathstotal': 5.0, 'beds': 3}","{'salerecdate': '2023-05-02', 'saledisclosuretype': 0, 'saledocnum': '0000283441', 'saletranstype': 'Resale'}",,sale
10111 WESTWANDA DR,10111 WESTWANDA DR,"{'bathstotal': 4.0, 'beds': 5}","{'saleamt': 35000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2018-01-12', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000038326', 'saletranstype': 'Resale'}",,sale
602 MOUNTAIN DR,602 MOUNTAIN DR,"{'bathstotal': 4.5, 'beds': 5}","{'salerecdate': '2020-12-30', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0001753866', 'saletranstype': 'Nominal/Quit Claim'}",,sale
1427 LAUREL WAY,1427 LAUREL WAY,"{'bathstotal': 5.0, 'beds': 5}","{'saleamt': 4500000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2018-06-01', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000544057', 'saletranstype': 'Resale'}",5269,sale
1485 BLUERIDGE DR,1485 BLUERIDGE DR,"{'bathstotal': 10.0, 'beds': 7}","{'salerecdate': '2023-08-30', 'saledisclosuretype': 0, 'saledocnum': '0000578018', 'saletranstype': 'Resale'}",9044,sale
1096 WALLACE RDG,1096 WALLACE RDG,"{'bathstotal': 11.0, 'beds': 9}",{'saledisclosuretype': 0},,sale
12001 MULHOLLAND DR,12001 MULHOLLAND DR,{},"{'saleamt': 720000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '1990-04-12', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000697333', 'saletranstype': 'Resale'}",,sale
9840 WANDA PARK DR,9840 WANDA PARK DR,{},"{'saleamt': 582000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2000-04-14', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000562154', 'saletranstype': 'Resale'}",,sale
985 N ALPINE DR,985 N ALPINE DR,"{'bathstotal': 6.0, 'beds': 5}","{'saleamt': 1800000, 'salerecdate': '1998-04-03', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000544654', 'saletranstype': 'REO (Real Estate-Owned)'}",,sale
1250 TOWER GROVE DR,1250 TOWER GROVE DR,"{'bathstotal': 4.0, 'beds': 3}","{'saleamt': 3465000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2010-02-09', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000177954', 'saletranstype': 'Resale'}",4767,sale
9959 BEVERLY GROVE DR,9959 BEVERLY GROVE DR,{'beds': 2},"{'salerecdate': '2022-03-24', 'saledisclosuretype': 0, 'saledocnum': '0000336886', 'saletranstype': 'Resale'}",,sale
